english,localization,subtitles,sex,sex_retained,method,sanitized
It's not fucking real.,Spain,1,0,,,
It's not fucking real.,Spain,2,0,,,
It's not fucking real.,Latin_America,1,0,,,
It's not fucking real.,Latin_America,2,0,,,
We don't create shit.,Spain,1,0,,,
We don't create shit.,Spain,2,0,,,
We don't create shit.,Latin_America,1,0,,,
We don't create shit.,Latin_America,2,0,,,
"and it now sits at 16,
he's all fucking happy.",Spain,1,0,,,
"and it now sits at 16,
he's all fucking happy.",Spain,2,0,,,
"and it now sits at 16,
he's all fucking happy.",Latin_America,1,0,,,
"and it now sits at 16,
he's all fucking happy.",Latin_America,2,0,,,
"He wants to cash in, liquidate,
take his fucking money and run home.",Spain,1,0,,,
"He wants to cash in, liquidate,
take his fucking money and run home.",Spain,2,0,,,
"He wants to cash in, liquidate,
take his fucking money and run home.",Latin_America,1,0,,,
"He wants to cash in, liquidate,
take his fucking money and run home.",Latin_America,2,0,,,
Cause they're fucking addicted.,Spain,1,0,,,
Cause they're fucking addicted.,Spain,2,0,,,
Cause they're fucking addicted.,Latin_America,1,0,,,
Cause they're fucking addicted.,Latin_America,2,0,,,
"Meanwhile, he thinks
he's getting shit rich, which he is, on paper.",Spain,1,0,,,
"Meanwhile, he thinks
he's getting shit rich, which he is, on paper.",Spain,2,0,,,
"Meanwhile, he thinks
he's getting shit rich, which he is, on paper.",Latin_America,1,0,,,
"Meanwhile, he thinks
he's getting shit rich, which he is, on paper.",Latin_America,2,0,,,
"we're taking home cold hard cash
via commission, motherfucker.",Spain,1,0,,,
"we're taking home cold hard cash
via commission, motherfucker.",Spain,2,0,,,
"we're taking home cold hard cash
via commission, motherfucker.",Latin_America,1,0,,,
"we're taking home cold hard cash
via commission, motherfucker.",Latin_America,2,0,,,
Do you jerk off?,Spain,1,1,,,
Do you jerk off?,Spain,2,1,,,
Do you jerk off?,Latin_America,1,1,,,
Do you jerk off?,Latin_America,2,1,,,
I do it 'cause I fucking need to.,Spain,1,0,,,
I do it 'cause I fucking need to.,Spain,2,0,,,
I do it 'cause I fucking need to.,Latin_America,1,0,,,
I do it 'cause I fucking need to.,Latin_America,2,0,,,
Fucking digits.,Spain,1,0,,,
Fucking digits.,Spain,2,0,,,
Fucking digits.,Latin_America,1,0,,,
Fucking digits.,Latin_America,2,0,,,
"All very acidic
above-the-shoulders mustard shit.",Spain,1,0,,,
"All very acidic
above-the-shoulders mustard shit.",Spain,2,0,,,
"All very acidic
above-the-shoulders mustard shit.",Latin_America,1,0,,,
"All very acidic
above-the-shoulders mustard shit.",Latin_America,2,0,,,
"If you don't, you will fall out of balance, split your differential
and tip the fuck over.",Spain,1,0,,,
"If you don't, you will fall out of balance, split your differential
and tip the fuck over.",Spain,2,0,,,
"If you don't, you will fall out of balance, split your differential
and tip the fuck over.",Latin_America,1,0,,,
"If you don't, you will fall out of balance, split your differential
and tip the fuck over.",Latin_America,2,0,,,
"you'll fucking be stroking it
and you'll be thinking about money.",Spain,1,0,,,
"you'll fucking be stroking it
and you'll be thinking about money.",Spain,2,0,,,
"you'll fucking be stroking it
and you'll be thinking about money.",Latin_America,1,0,,,
"you'll fucking be stroking it
and you'll be thinking about money.",Latin_America,2,0,,,
every goddamn century.,Spain,1,0,,,
every goddamn century.,Spain,2,0,,,
every goddamn century.,Latin_America,1,0,,,
every goddamn century.,Latin_America,2,0,,,
"Earning shit money as I geared up
to take my Series 7.",Spain,1,0,,,
"Earning shit money as I geared up
to take my Series 7.",Spain,2,0,,,
"Earning shit money as I geared up
to take my Series 7.",Latin_America,1,0,,,
"Earning shit money as I geared up
to take my Series 7.",Latin_America,2,0,,,
"Oh, fuckers.",Spain,1,0,,,
"Oh, fuckers.",Spain,2,0,,,
"Oh, fuckers.",Latin_America,1,0,,,
"Oh, fuckers.",Latin_America,2,0,,,
No shit.,Spain,1,0,,,
No shit.,Spain,2,0,,,
No shit.,Latin_America,1,0,,,
No shit.,Latin_America,2,0,,,
"Some fucking
country in Europe took a shit.",Spain,1,0,,,
"Some fucking
country in Europe took a shit.",Spain,2,0,,,
"Some fucking
country in Europe took a shit.",Latin_America,1,0,,,
"Some fucking
country in Europe took a shit.",Latin_America,2,0,,,
"Let them do
what they want to fucking do.",Spain,1,0,,,
"Let them do
what they want to fucking do.",Spain,2,0,,,
"Let them do
what they want to fucking do.",Latin_America,1,0,,,
"Let them do
what they want to fucking do.",Latin_America,2,0,,,
A fucking tsunami.,Spain,1,0,,,
A fucking tsunami.,Spain,2,0,,,
A fucking tsunami.,Latin_America,1,0,,,
A fucking tsunami.,Latin_America,2,0,,,
Holy fucking shit!,Spain,1,0,,,
Holy fucking shit!,Spain,2,0,,,
Holy fucking shit!,Latin_America,1,0,,,
Holy fucking shit!,Latin_America,2,0,,,
My first shitty day as a broker.,Spain,1,0,,,
My first shitty day as a broker.,Spain,2,0,,,
My first shitty day as a broker.,Latin_America,1,0,,,
My first shitty day as a broker.,Latin_America,2,0,,,
Wall Street had swallowed me up and shit me right back out again.,Spain,1,0,,,
Wall Street had swallowed me up and shit me right back out again.,Spain,2,0,,,
Wall Street had swallowed me up and shit me right back out again.,Latin_America,1,0,,,
Wall Street had swallowed me up and shit me right back out again.,Latin_America,2,0,,,
You cheap fuck!,Spain,1,0,,,
You cheap fuck!,Spain,2,0,,,
You cheap fuck!,Latin_America,1,0,,,
You cheap fuck!,Latin_America,2,0,,,
"Hey, come on. Who buys this crap?",Spain,1,0,,,
"Hey, come on. Who buys this crap?",Spain,2,0,,,
"Hey, come on. Who buys this crap?",Latin_America,1,0,,,
"Hey, come on. Who buys this crap?",Latin_America,2,0,,,
"Honestly, mostly schmucks.",Spain,1,0,,,
"Honestly, mostly schmucks.",Spain,2,0,,,
"Honestly, mostly schmucks.",Latin_America,1,0,,,
"Honestly, mostly schmucks.",Latin_America,2,0,,,
"I will personally give you
a blowjob for free.",Spain,1,1,,,
"I will personally give you
a blowjob for free.",Spain,2,1,,,
"I will personally give you
a blowjob for free.",Latin_America,1,1,,,
"I will personally give you
a blowjob for free.",Latin_America,2,1,,,
How'd you fucking do that?,Spain,1,0,,,
How'd you fucking do that?,Spain,2,0,,,
How'd you fucking do that?,Latin_America,1,0,,,
How'd you fucking do that?,Latin_America,2,0,,,
So I was selling them shit.,Spain,1,0,,,
So I was selling them shit.,Spain,2,0,,,
So I was selling them shit.,Latin_America,1,0,,,
So I was selling them shit.,Latin_America,2,0,,,
No shit?,Spain,1,0,,,
No shit?,Spain,2,0,,,
No shit?,Latin_America,1,0,,,
No shit?,Latin_America,2,0,,,
"You got your fucking nice car,",Spain,1,0,,,
"You got your fucking nice car,",Spain,2,0,,,
"You got your fucking nice car,",Latin_America,1,0,,,
"You got your fucking nice car,",Latin_America,2,0,,,
Get the fuck out of here.,Spain,1,0,,,
Get the fuck out of here.,Spain,2,0,,,
Get the fuck out of here.,Latin_America,1,0,,,
Get the fuck out of here.,Latin_America,2,0,,,
"I mean, I just met this fucking guy.",Spain,1,0,,,
"I mean, I just met this fucking guy.",Spain,2,0,,,
"I mean, I just met this fucking guy.",Latin_America,1,0,,,
"I mean, I just met this fucking guy.",Latin_America,2,0,,,
Don't fucking tell Susan.,Spain,1,0,,,
Don't fucking tell Susan.,Spain,2,0,,,
Don't fucking tell Susan.,Latin_America,1,0,,,
Don't fucking tell Susan.,Latin_America,2,0,,,
"I gotta fucking
deal with your wife?",Spain,1,0,,,
"I gotta fucking
deal with your wife?",Spain,2,0,,,
"I gotta fucking
deal with your wife?",Latin_America,1,0,,,
"I gotta fucking
deal with your wife?",Latin_America,2,0,,,
I heard some stupid shit.,Spain,1,0,,,
I heard some stupid shit.,Spain,2,0,,,
I heard some stupid shit.,Latin_America,1,0,,,
I heard some stupid shit.,Latin_America,2,0,,,
"Fuck, I didn't even want
to bring it up.",Spain,1,0,,,
"Fuck, I didn't even want
to bring it up.",Spain,2,0,,,
"Fuck, I didn't even want
to bring it up.",Latin_America,1,0,,,
"Fuck, I didn't even want
to bring it up.",Latin_America,2,0,,,
Shit with me?,Spain,1,0,,,
Shit with me?,Spain,2,0,,,
Shit with me?,Latin_America,1,0,,,
Shit with me?,Latin_America,2,0,,,
"Shit about you and your cousin
or something like that.",Spain,1,0,,,
"Shit about you and your cousin
or something like that.",Spain,2,0,,,
"Shit about you and your cousin
or something like that.",Latin_America,1,0,,,
"Shit about you and your cousin
or something like that.",Latin_America,2,0,,,
"Like you married your cousin
or some stupid shit.",Spain,1,0,,,
"Like you married your cousin
or some stupid shit.",Spain,2,0,,,
"Like you married your cousin
or some stupid shit.",Latin_America,1,0,,,
"Like you married your cousin
or some stupid shit.",Latin_America,2,0,,,
"And she grew up hot, you know.
She fucking grew up hot.",Spain,1,0,,,
"And she grew up hot, you know.
She fucking grew up hot.",Spain,2,0,,,
"And she grew up hot, you know.
She fucking grew up hot.",Latin_America,1,0,,,
"And she grew up hot, you know.
She fucking grew up hot.",Latin_America,2,0,,,
"And all my friends were
trying to fuck her, you know.",Spain,1,1,,,
"And all my friends were
trying to fuck her, you know.",Spain,2,1,,,
"And all my friends were
trying to fuck her, you know.",Latin_America,1,1,,,
"And all my friends were
trying to fuck her, you know.",Latin_America,2,1,,,
"You know, one of these assholes
fuck my cousin,",Spain,1,1,,,
"You know, one of these assholes
fuck my cousin,",Spain,2,1,,,
"You know, one of these assholes
fuck my cousin,",Latin_America,1,1,,,
"You know, one of these assholes
fuck my cousin,",Latin_America,2,1,,,
"I'm not gonna let
someone else fuck my cousin.",Spain,1,1,,,
"I'm not gonna let
someone else fuck my cousin.",Spain,2,1,,,
"I'm not gonna let
someone else fuck my cousin.",Latin_America,1,1,,,
"I'm not gonna let
someone else fuck my cousin.",Latin_America,2,1,,,
"You know, if anyone's
gonna fuck my cousin,",Spain,1,1,,,
"You know, if anyone's
gonna fuck my cousin,",Spain,2,1,,,
"You know, if anyone's
gonna fuck my cousin,",Latin_America,1,1,,,
"You know, if anyone's
gonna fuck my cousin,",Latin_America,2,1,,,
"60 to 65% chance the kid's
gonna be fucking retarded or whatever.",Spain,1,0,,,
"60 to 65% chance the kid's
gonna be fucking retarded or whatever.",Spain,2,0,,,
"60 to 65% chance the kid's
gonna be fucking retarded or whatever.",Latin_America,1,0,,,
"60 to 65% chance the kid's
gonna be fucking retarded or whatever.",Latin_America,2,0,,,
"That'd scare the shit out of me, buddy.",Spain,1,0,,,
"That'd scare the shit out of me, buddy.",Spain,2,0,,,
"That'd scare the shit out of me, buddy.",Latin_America,1,0,,,
"That'd scare the shit out of me, buddy.",Latin_America,2,0,,,
whether you're fucking cousins or not.,Spain,1,0,,,
whether you're fucking cousins or not.,Spain,2,0,,,
whether you're fucking cousins or not.,Latin_America,1,0,,,
whether you're fucking cousins or not.,Latin_America,2,0,,,
You're completely fucking with me.,Spain,1,0,,,
You're completely fucking with me.,Spain,2,0,,,
You're completely fucking with me.,Latin_America,1,0,,,
You're completely fucking with me.,Latin_America,2,0,,,
"No, I'm not fucking happy.
No one who's married is fucking happy.",Spain,1,0,,,
"No, I'm not fucking happy.
No one who's married is fucking happy.",Spain,2,0,,,
"No, I'm not fucking happy.
No one who's married is fucking happy.",Latin_America,1,0,,,
"No, I'm not fucking happy.
No one who's married is fucking happy.",Latin_America,2,0,,,
"I'm really appreciative
for this fucking job.",Spain,1,0,,,
"I'm really appreciative
for this fucking job.",Spain,2,0,,,
"I'm really appreciative
for this fucking job.",Latin_America,1,0,,,
"I'm really appreciative
for this fucking job.",Latin_America,2,0,,,
"Oh, fuck.",Spain,1,0,,,
"Oh, fuck.",Spain,2,0,,,
"Oh, fuck.",Latin_America,1,0,,,
"Oh, fuck.",Latin_America,2,0,,,
Let's fucking go.,Spain,1,0,,,
Let's fucking go.,Spain,2,0,,,
Let's fucking go.,Latin_America,1,0,,,
Let's fucking go.,Latin_America,2,0,,,
I'm not fucking doing this.,Spain,1,0,,,
I'm not fucking doing this.,Spain,2,0,,,
I'm not fucking doing this.,Latin_America,1,0,,,
I'm not fucking doing this.,Latin_America,2,0,,,
You're out of your fucking mind.,Spain,1,0,,,
You're out of your fucking mind.,Spain,2,0,,,
You're out of your fucking mind.,Latin_America,1,0,,,
You're out of your fucking mind.,Latin_America,2,0,,,
"Smoke this shit, bro.",Spain,1,0,,,
"Smoke this shit, bro.",Spain,2,0,,,
"Smoke this shit, bro.",Latin_America,1,0,,,
"Smoke this shit, bro.",Latin_America,2,0,,,
"No one's fucking here, bro.",Spain,1,0,,,
"No one's fucking here, bro.",Spain,2,0,,,
"No one's fucking here, bro.",Latin_America,1,0,,,
"No one's fucking here, bro.",Latin_America,2,0,,,
Get the fuck…,Spain,1,0,,,
Get the fuck…,Spain,2,0,,,
Get the fuck…,Latin_America,1,0,,,
Get the fuck…,Latin_America,2,0,,,
"Fucking smoke crack with me, bro.",Spain,1,0,,,
"Fucking smoke crack with me, bro.",Spain,2,0,,,
"Fucking smoke crack with me, bro.",Latin_America,1,0,,,
"Fucking smoke crack with me, bro.",Latin_America,2,0,,,
Fucking nut job.,Spain,1,0,,,
Fucking nut job.,Spain,2,0,,,
Fucking nut job.,Latin_America,1,0,,,
Fucking nut job.,Latin_America,2,0,,,
Let's go fucking run.,Spain,1,0,,,
Let's go fucking run.,Spain,2,0,,,
Let's go fucking run.,Latin_America,1,0,,,
Let's go fucking run.,Latin_America,2,0,,,
Let's fucking run!,Spain,1,0,,,
Let's fucking run!,Spain,2,0,,,
Let's fucking run!,Latin_America,1,0,,,
Let's fucking run!,Latin_America,2,0,,,
"Getting any pussy
with that thing or what?",Spain,1,1,,,
"Getting any pussy
with that thing or what?",Spain,2,1,,,
"Getting any pussy
with that thing or what?",Latin_America,1,1,,,
"Getting any pussy
with that thing or what?",Latin_America,2,1,,,
Get the fuck out of here.,Spain,1,0,,,
Get the fuck out of here.,Spain,2,0,,,
Get the fuck out of here.,Latin_America,1,0,,,
Get the fuck out of here.,Latin_America,2,0,,,
with like no mustache or some bullshit?,Spain,1,0,,,
with like no mustache or some bullshit?,Spain,2,0,,,
with like no mustache or some bullshit?,Latin_America,1,0,,,
with like no mustache or some bullshit?,Latin_America,2,0,,,
What the fuck are you talking about?,Spain,1,0,,,
What the fuck are you talking about?,Spain,2,0,,,
What the fuck are you talking about?,Latin_America,1,0,,,
What the fuck are you talking about?,Latin_America,2,0,,,
"Holy fuck, you did just say that.",Spain,1,0,,,
"Holy fuck, you did just say that.",Spain,2,0,,,
"Holy fuck, you did just say that.",Latin_America,1,0,,,
"Holy fuck, you did just say that.",Latin_America,2,0,,,
What the fuck are you talking about?,Spain,1,0,,,
What the fuck are you talking about?,Spain,2,0,,,
What the fuck are you talking about?,Latin_America,1,0,,,
What the fuck are you talking about?,Latin_America,2,0,,,
They don't give a shit about money.,Spain,1,0,,,
They don't give a shit about money.,Spain,2,0,,,
They don't give a shit about money.,Latin_America,1,0,,,
They don't give a shit about money.,Latin_America,2,0,,,
I'm pretty fucking sure.,Spain,1,0,,,
I'm pretty fucking sure.,Spain,2,0,,,
I'm pretty fucking sure.,Latin_America,1,0,,,
I'm pretty fucking sure.,Latin_America,2,0,,,
"I want to make
some fucking money, okay.",Spain,1,0,,,
"I want to make
some fucking money, okay.",Spain,2,0,,,
"I want to make
some fucking money, okay.",Latin_America,1,0,,,
"I want to make
some fucking money, okay.",Latin_America,2,0,,,
Sell me this fucking pen right here.,Spain,1,0,,,
Sell me this fucking pen right here.,Spain,2,0,,,
Sell me this fucking pen right here.,Latin_America,1,0,,,
Sell me this fucking pen right here.,Latin_America,2,0,,,
You want me to sell this fucking pen?,Spain,1,0,,,
You want me to sell this fucking pen?,Spain,2,0,,,
You want me to sell this fucking pen?,Latin_America,1,0,,,
You want me to sell this fucking pen?,Latin_America,2,0,,,
